Campaign_ID,Campaign_Name,Date,Marketing_Channel,Campaign_Type,Region,Impressions,Clicks,Leads,Conversions,Ad_Spend,Revenue,Customers,Campaign_Duration,Device_Type
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-05,Display Ads,Awareness,Asia-Pacific,47005,820,321,19,2034.79,2341.79,7,9,Mobile
CMP_FB_01,FB_Retargeting_Q1,2025-01-05,Facebook Ads,Retargeting,North America,47286,2242,595,223,6924.27,55691.65,129,20,Desktop
CMP_FB_02,FB_Lookalike_Prospecting,2025-01-05,Facebook Ads,Awareness,Middle East,16187,535,238,47,1295.3,12561.33,28,23,Desktop
CMP_GGL_01,Google_Search_Brand,2025-01-05,Google Ads,Conversion,Asia-Pacific,34476,1244,358,136,4101.41,44025.87,91,12,Mobile
CMP_IG_01,IG_Influencer_Promos,2025-01-05,Instagram Ads,Product Promotion,Europe,35243,1356,557,114,3407.02,22838.4,74,28,Mobile
CMP_IG_02,IG_Stories_Conversion,2025-01-05,Instagram Ads,Conversion,Middle East,32894,1249,621,95,2503.26,22578.64,49,19,Tablet
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-06,Email Marketing,Conversion,North America,11941,1783,939,372,1108.15,134202.16,267,20,Mobile
CMP_IG_01,IG_Influencer_Promos,2025-01-06,Instagram Ads,Product Promotion,Latin America,36578,1342,544,93,4594.68,18770.19,65,25,Tablet
CMP_IG_01,IG_Influencer_Promos,2025-01-06,Instagram Ads,Product Promotion,North America,49138,2005,842,193,4646.5,33743.77,120,15,Desktop
CMP_IG_01,IG_Influencer_Promos,2025-01-06,Instagram Ads,Product Promotion,Asia-Pacific,47488,2328,1183,182,5525.49,38888.35,126,28,Desktop
CMP_IG_01,IG_Influencer_Promos,2025-01-06,Instagram Ads,Product Promotion,Latin America,19724,1065,499,56,3586.78,10354.22,38,12,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-06,LinkedIn Ads,Lead Generation,Latin America,16268,305,117,39,3156.03,22296.19,25,22,Mobile
CMP_SEO_01,SEO_Organic_Blog_Content,2025-01-06,SEO,Awareness,Latin America,48467,3386,1316,467,1432.95,134297.71,338,14,Desktop
CMP_SEO_01,SEO_Organic_Blog_Content,2025-01-06,SEO,Awareness,Latin America,48744,3258,1017,463,1821.58,149692.45,370,15,Tablet
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-07,Display Ads,Awareness,Europe,63019,879,236,24,2994.0,3820.51,10,12,Mobile
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-07,Display Ads,Retargeting,Latin America,97661,1385,493,35,4288.0,4365.72,12,23,Tablet
CMP_EM_01,EM_Weekly_Newsletter,2025-01-07,Email Marketing,Product Promotion,Latin America,27002,3429,1822,728,2685.21,204665.58,585,9,Tablet
CMP_EM_01,EM_Weekly_Newsletter,2025-01-07,Email Marketing,Product Promotion,Middle East,27253,3177,1517,512,1619.62,116058.09,418,26,Mobile
CMP_FB_02,FB_Lookalike_Prospecting,2025-01-07,Facebook Ads,Awareness,Middle East,40165,1024,332,100,2974.88,24444.82,55,19,Desktop
CMP_GGL_01,Google_Search_Brand,2025-01-07,Google Ads,Conversion,Asia-Pacific,17425,838,352,94,2731.52,24155.15,63,18,Tablet
CMP_IG_02,IG_Stories_Conversion,2025-01-07,Instagram Ads,Conversion,Latin America,16408,741,326,46,1821.34,7551.83,26,8,Mobile
CMP_IG_02,IG_Stories_Conversion,2025-01-07,Instagram Ads,Conversion,Europe,33413,1726,448,117,4650.22,25810.15,72,22,Mobile
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-07,SEO,Conversion,Latin America,35190,2783,1524,267,1529.87,99787.26,197,18,Mobile
CMP_YT_01,YT_Video_Awareness_V1,2025-01-07,YouTube Ads,Awareness,Middle East,50035,1009,445,57,2472.34,8783.8,36,21,Mobile
CMP_YT_01,YT_Video_Awareness_V1,2025-01-07,YouTube Ads,Awareness,Middle East,70518,1396,643,85,1877.04,15981.53,40,17,Tablet
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-08,Display Ads,Awareness,Middle East,47173,437,213,14,1450.78,2499.66,6,7,Tablet
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-08,Email Marketing,Conversion,Europe,17331,1491,519,183,922.27,49211.46,148,25,Mobile
CMP_FB_01,FB_Retargeting_Q1,2025-01-08,Facebook Ads,Retargeting,North America,52149,1802,731,122,5342.17,26942.48,91,28,Tablet
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-08,LinkedIn Ads,Lead Generation,Asia-Pacific,8272,231,118,19,1744.05,10240.23,12,24,Mobile
CMP_YT_01,YT_Video_Awareness_V1,2025-01-08,YouTube Ads,Awareness,Latin America,44184,467,234,17,941.82,3135.75,10,7,Tablet
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-09,Display Ads,Awareness,Middle East,65808,781,375,20,2907.39,3413.47,7,11,Desktop
CMP_EM_01,EM_Weekly_Newsletter,2025-01-09,Email Marketing,Product Promotion,Latin America,14581,1564,427,206,1025.21,77931.15,158,19,Desktop
CMP_FB_01,FB_Retargeting_Q1,2025-01-09,Facebook Ads,Retargeting,Middle East,42376,2110,1099,153,4475.03,35395.37,114,25,Mobile
CMP_FB_01,FB_Retargeting_Q1,2025-01-09,Facebook Ads,Retargeting,Middle East,62453,3017,1099,202,6425.1,38456.61,120,12,Tablet
CMP_IG_01,IG_Influencer_Promos,2025-01-09,Instagram Ads,Product Promotion,North America,25823,817,318,74,2059.9,13208.36,41,10,Desktop
CMP_IG_01,IG_Influencer_Promos,2025-01-09,Instagram Ads,Product Promotion,Latin America,19885,966,431,89,1959.06,20215.02,60,20,Desktop
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-09,LinkedIn Ads,Lead Generation,Latin America,8267,130,44,13,1161.31,8696.08,6,30,Mobile
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-09,LinkedIn Ads,Lead Generation,Europe,12713,295,97,29,2417.49,16645.67,18,29,Tablet
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-09,LinkedIn Ads,Lead Generation,Asia-Pacific,22709,666,268,60,5995.93,28394.62,30,18,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-09,LinkedIn Ads,Lead Generation,Asia-Pacific,17014,307,111,36,3279.02,26405.75,23,29,Mobile
CMP_YT_01,YT_Video_Awareness_V1,2025-01-09,YouTube Ads,Awareness,Europe,69090,708,199,25,1387.53,6027.54,15,15,Tablet
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-10,Display Ads,Retargeting,Europe,53951,870,297,20,2132.71,3037.12,10,29,Mobile
CMP_GGL_01,Google_Search_Brand,2025-01-10,Google Ads,Conversion,Europe,38129,1443,573,140,3933.8,36560.85,118,18,Mobile
CMP_GGL_01,Google_Search_Brand,2025-01-10,Google Ads,Conversion,Middle East,31059,1111,290,115,4183.99,31673.43,81,19,Desktop
CMP_GGL_02,Google_NonBrand_Generic,2025-01-10,Google Ads,Lead Generation,Europe,42580,1593,835,167,7082.99,48985.06,115,21,Tablet
CMP_GGL_02,Google_NonBrand_Generic,2025-01-10,Google Ads,Lead Generation,Latin America,21779,1391,589,128,4242.45,41966.05,103,24,Tablet
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-11,Display Ads,Awareness,Latin America,25207,215,95,4,666.81,729.21,1,30,Tablet
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-11,Display Ads,Awareness,Middle East,93023,536,134,10,1364.81,1870.88,4,8,Mobile
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-11,Display Ads,Retargeting,North America,45426,254,102,8,773.28,1051.38,4,20,Mobile
CMP_GGL_02,Google_NonBrand_Generic,2025-01-11,Google Ads,Lead Generation,North America,10521,513,166,43,1387.44,12786.84,34,29,Mobile
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-11,LinkedIn Ads,Lead Generation,Europe,8671,268,109,29,2289.14,16534.21,13,10,Desktop
CMP_YT_02,YT_TrueView_Product_Demo,2025-01-11,YouTube Ads,Product Promotion,Asia-Pacific,74576,1547,530,91,2597.0,18457.72,44,20,Desktop
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-12,Display Ads,Awareness,Europe,66358,989,383,22,2551.08,2640.25,11,15,Desktop
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-12,Display Ads,Awareness,North America,60678,693,195,27,2591.68,4659.75,11,26,Mobile
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-12,Display Ads,Retargeting,Latin America,75137,1002,274,17,2511.26,3125.21,7,12,Tablet
CMP_FB_01,FB_Retargeting_Q1,2025-01-12,Facebook Ads,Retargeting,Latin America,23290,595,229,48,980.48,12007.4,35,14,Mobile
CMP_FB_01,FB_Retargeting_Q1,2025-01-12,Facebook Ads,Retargeting,North America,47283,1487,519,161,4568.88,40813.12,100,7,Desktop
CMP_FB_02,FB_Lookalike_Prospecting,2025-01-12,Facebook Ads,Awareness,Asia-Pacific,33246,1454,647,106,3406.0,25612.56,67,18,Tablet
CMP_GGL_01,Google_Search_Brand,2025-01-12,Google Ads,Conversion,Asia-Pacific,26703,1614,757,173,4848.2,49944.23,112,20,Desktop
CMP_IG_01,IG_Influencer_Promos,2025-01-12,Instagram Ads,Product Promotion,Asia-Pacific,31891,1618,646,103,5260.9,18436.44,64,12,Desktop
CMP_IG_02,IG_Stories_Conversion,2025-01-12,Instagram Ads,Conversion,Latin America,51985,2261,772,134,7098.48,27666.76,85,20,Mobile
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-12,SEO,Conversion,Asia-Pacific,26536,1907,854,245,448.94,62865.4,194,9,Tablet
CMP_EM_01,EM_Weekly_Newsletter,2025-01-13,Email Marketing,Product Promotion,Middle East,19459,2396,1187,393,1905.01,88915.2,278,12,Tablet
CMP_EM_01,EM_Weekly_Newsletter,2025-01-13,Email Marketing,Product Promotion,Middle East,28500,2347,827,368,1439.1,73936.42,310,12,Desktop
CMP_IG_01,IG_Influencer_Promos,2025-01-13,Instagram Ads,Product Promotion,North America,52767,1962,686,190,6422.46,35009.11,97,10,Desktop
CMP_IG_02,IG_Stories_Conversion,2025-01-13,Instagram Ads,Conversion,Asia-Pacific,20055,707,377,58,2438.25,9318.98,37,29,Tablet
CMP_YT_02,YT_TrueView_Product_Demo,2025-01-13,YouTube Ads,Product Promotion,Europe,83317,1930,679,121,2502.99,18314.47,72,7,Mobile
CMP_FB_02,FB_Lookalike_Prospecting,2025-01-14,Facebook Ads,Awareness,Asia-Pacific,59761,2248,636,215,4001.57,52123.15,158,26,Desktop
CMP_GGL_02,Google_NonBrand_Generic,2025-01-14,Google Ads,Lead Generation,Asia-Pacific,33302,1932,491,226,7274.65,78037.33,159,23,Mobile
CMP_IG_01,IG_Influencer_Promos,2025-01-14,Instagram Ads,Product Promotion,Europe,47857,2521,1255,171,5096.81,28898.84,90,29,Tablet
CMP_IG_01,IG_Influencer_Promos,2025-01-14,Instagram Ads,Product Promotion,Latin America,17080,627,173,52,1695.09,10435.26,29,14,Mobile
CMP_IG_02,IG_Stories_Conversion,2025-01-14,Instagram Ads,Conversion,North America,36596,1460,409,78,4402.67,17866.79,48,25,Tablet
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-14,LinkedIn Ads,Lead Generation,Latin America,23657,825,423,73,7025.88,40185.99,29,28,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-14,LinkedIn Ads,Lead Generation,Middle East,19109,310,143,27,2947.42,17415.87,13,15,Desktop
CMP_YT_01,YT_Video_Awareness_V1,2025-01-14,YouTube Ads,Awareness,Europe,33068,744,270,35,1255.61,7853.8,20,21,Mobile
CMP_EM_01,EM_Weekly_Newsletter,2025-01-15,Email Marketing,Product Promotion,Europe,27415,2689,1262,404,1925.63,111542.08,323,24,Desktop
CMP_EM_01,EM_Weekly_Newsletter,2025-01-15,Email Marketing,Product Promotion,Asia-Pacific,26600,3177,1263,441,1847.6,166627.93,386,18,Tablet
CMP_EM_01,EM_Weekly_Newsletter,2025-01-15,Email Marketing,Product Promotion,Middle East,22223,3124,1299,664,2159.64,222726.93,572,26,Desktop
CMP_EM_01,EM_Weekly_Newsletter,2025-01-15,Email Marketing,Product Promotion,Europe,19662,1634,814,211,1129.95,58956.98,185,25,Tablet
CMP_FB_02,FB_Lookalike_Prospecting,2025-01-15,Facebook Ads,Awareness,North America,52004,2147,1006,235,4068.52,43662.03,172,12,Tablet
CMP_GGL_01,Google_Search_Brand,2025-01-15,Google Ads,Conversion,Asia-Pacific,15156,562,201,72,2231.83,21314.8,56,25,Mobile
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-15,LinkedIn Ads,Lead Generation,Middle East,10085,267,143,28,2358.78,18824.35,17,12,Desktop
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-15,LinkedIn Ads,Lead Generation,Latin America,15429,392,130,28,2369.45,16762.01,17,30,Desktop
CMP_SEO_01,SEO_Organic_Blog_Content,2025-01-15,SEO,Awareness,Middle East,69852,2955,1065,276,630.09,85908.8,190,13,Tablet
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-15,SEO,Conversion,Latin America,35564,2433,1308,315,1359.74,93775.05,252,27,Tablet
CMP_YT_01,YT_Video_Awareness_V1,2025-01-15,YouTube Ads,Awareness,Europe,85155,2065,1118,72,2831.84,12931.24,33,29,Desktop
CMP_YT_01,YT_Video_Awareness_V1,2025-01-15,YouTube Ads,Awareness,Europe,76501,775,202,45,1018.83,9061.04,25,18,Desktop
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-16,Display Ads,Awareness,Europe,64920,919,297,18,2506.03,2041.13,7,10,Tablet
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-16,Display Ads,Awareness,Latin America,27999,313,109,5,840.07,673.5,2,26,Tablet
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-16,Email Marketing,Conversion,Europe,28529,3349,1623,604,1282.62,141171.84,436,19,Mobile
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-16,Email Marketing,Conversion,North America,27436,2420,1100,485,1153.4,170470.61,417,27,Desktop
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-16,Email Marketing,Conversion,North America,17521,1941,601,410,1195.01,108561.3,366,11,Mobile
CMP_GGL_02,Google_NonBrand_Generic,2025-01-16,Google Ads,Lead Generation,Asia-Pacific,35149,2024,1082,213,8176.1,63117.48,174,22,Mobile
CMP_IG_02,IG_Stories_Conversion,2025-01-16,Instagram Ads,Conversion,Europe,19882,997,404,64,2322.84,12473.95,34,24,Mobile
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-16,LinkedIn Ads,Lead Generation,North America,16593,533,194,54,3450.31,39061.77,29,16,Desktop
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-16,LinkedIn Ads,Lead Generation,Latin America,5556,181,80,19,1405.41,8902.12,9,28,Tablet
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-16,LinkedIn Ads,Lead Generation,Latin America,6303,186,62,14,1797.84,7536.17,8,9,Tablet
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-16,SEO,Conversion,Asia-Pacific,15358,819,243,119,491.32,45468.81,91,24,Mobile
CMP_YT_01,YT_Video_Awareness_V1,2025-01-16,YouTube Ads,Awareness,Asia-Pacific,39783,488,262,27,1154.77,4287.05,14,15,Mobile
CMP_YT_02,YT_TrueView_Product_Demo,2025-01-16,YouTube Ads,Product Promotion,Asia-Pacific,82824,2050,1092,136,2501.35,32887.76,69,22,Mobile
CMP_YT_02,YT_TrueView_Product_Demo,2025-01-16,YouTube Ads,Product Promotion,Asia-Pacific,61087,1096,349,56,2683.84,8553.51,27,20,Mobile
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-17,Display Ads,Retargeting,Latin America,77741,915,319,22,2955.42,3998.51,11,7,Desktop
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-17,Email Marketing,Conversion,Europe,26757,3852,1248,529,2281.89,120737.87,471,24,Tablet
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-17,Email Marketing,Conversion,Latin America,22743,3329,1229,653,1617.92,198058.77,526,28,Tablet
CMP_GGL_02,Google_NonBrand_Generic,2025-01-17,Google Ads,Lead Generation,North America,29517,1846,875,160,6368.12,37424.31,123,13,Mobile
CMP_IG_02,IG_Stories_Conversion,2025-01-17,Instagram Ads,Conversion,Europe,37449,1677,466,162,5385.32,32875.08,96,8,Tablet
CMP_IG_02,IG_Stories_Conversion,2025-01-17,Instagram Ads,Conversion,North America,34474,1604,700,141,5410.94,35706.87,76,30,Tablet
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-17,SEO,Conversion,Asia-Pacific,66802,3488,1428,402,1813.36,149754.75,309,30,Tablet
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-17,SEO,Conversion,Europe,26005,1339,651,138,355.62,56590.89,96,27,Tablet
CMP_YT_01,YT_Video_Awareness_V1,2025-01-17,YouTube Ads,Awareness,Latin America,66692,1222,388,39,1979.57,6352.22,23,7,Mobile
CMP_YT_01,YT_Video_Awareness_V1,2025-01-17,YouTube Ads,Awareness,Middle East,69361,1380,687,49,2709.03,11140.95,29,23,Desktop
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-18,Display Ads,Retargeting,North America,41880,748,266,27,1544.44,4954.23,14,7,Desktop
CMP_GGL_02,Google_NonBrand_Generic,2025-01-18,Google Ads,Lead Generation,Middle East,42889,1763,664,223,7441.1,71178.18,185,15,Desktop
CMP_GGL_02,Google_NonBrand_Generic,2025-01-18,Google Ads,Lead Generation,North America,10033,366,94,47,1258.29,13372.77,36,25,Desktop
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-18,LinkedIn Ads,Lead Generation,Latin America,12467,363,93,45,2984.24,28243.89,20,8,Mobile
CMP_SEO_01,SEO_Organic_Blog_Content,2025-01-18,SEO,Awareness,Middle East,41365,2538,1346,243,1400.31,87968.41,169,18,Tablet
CMP_SEO_01,SEO_Organic_Blog_Content,2025-01-18,SEO,Awareness,Latin America,39907,1712,761,227,444.31,73238.23,181,28,Tablet
CMP_YT_02,YT_TrueView_Product_Demo,2025-01-18,YouTube Ads,Product Promotion,Europe,25730,360,157,23,521.43,3902.3,10,21,Mobile
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-19,Display Ads,Retargeting,Europe,34602,275,88,5,953.2,855.02,2,10,Tablet
CMP_FB_02,FB_Lookalike_Prospecting,2025-01-19,Facebook Ads,Awareness,Middle East,58955,1793,498,194,3667.74,49024.97,133,9,Tablet
CMP_IG_02,IG_Stories_Conversion,2025-01-19,Instagram Ads,Conversion,Middle East,33156,1300,439,69,3177.46,13988.53,42,16,Mobile
CMP_SEO_01,SEO_Organic_Blog_Content,2025-01-19,SEO,Awareness,Latin America,56363,3797,1815,402,1195.87,106676.52,339,14,Tablet
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-19,SEO,Conversion,Asia-Pacific,15416,645,223,75,156.45,29390.27,57,9,Tablet
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-19,SEO,Conversion,North America,28433,2003,1083,222,946.0,75536.47,156,23,Mobile
CMP_YT_01,YT_Video_Awareness_V1,2025-01-19,YouTube Ads,Awareness,Middle East,61858,1355,484,76,3352.64,13063.9,39,20,Mobile
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-20,Display Ads,Retargeting,Asia-Pacific,39072,520,276,8,1268.99,1264.69,3,22,Mobile
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-20,Email Marketing,Conversion,Europe,27599,3479,1800,485,1743.34,98862.18,397,26,Tablet
CMP_FB_01,FB_Retargeting_Q1,2025-01-20,Facebook Ads,Retargeting,Latin America,54527,1474,774,122,2880.73,32190.83,86,11,Desktop
CMP_FB_01,FB_Retargeting_Q1,2025-01-20,Facebook Ads,Retargeting,North America,28682,898,470,74,2280.67,17753.58,53,25,Desktop
CMP_YT_02,YT_TrueView_Product_Demo,2025-01-20,YouTube Ads,Product Promotion,Asia-Pacific,38796,421,164,23,747.58,5304.65,14,29,Tablet
CMP_YT_02,YT_TrueView_Product_Demo,2025-01-20,YouTube Ads,Product Promotion,Middle East,42612,847,356,52,1877.93,10961.6,24,18,Mobile
CMP_FB_02,FB_Lookalike_Prospecting,2025-01-21,Facebook Ads,Awareness,Latin America,18924,477,152,43,989.26,8931.85,27,25,Desktop
CMP_IG_01,IG_Influencer_Promos,2025-01-21,Instagram Ads,Product Promotion,Latin America,27187,858,307,44,2083.26,7949.81,29,22,Mobile
CMP_IG_01,IG_Influencer_Promos,2025-01-21,Instagram Ads,Product Promotion,Middle East,38275,1539,673,129,4391.48,26326.68,77,16,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-21,LinkedIn Ads,Lead Generation,Latin America,23087,474,137,54,4605.17,39162.96,33,15,Desktop
CMP_GGL_02,Google_NonBrand_Generic,2025-01-22,Google Ads,Lead Generation,Asia-Pacific,30281,1723,473,199,6602.82,66790.93,124,29,Desktop
CMP_IG_02,IG_Stories_Conversion,2025-01-22,Instagram Ads,Conversion,Latin America,52961,2210,857,137,5506.09,30168.8,85,8,Tablet
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-22,LinkedIn Ads,Lead Generation,Middle East,20235,659,336,77,5022.79,56484.42,38,20,Desktop
CMP_SEO_01,SEO_Organic_Blog_Content,2025-01-22,SEO,Awareness,Latin America,43581,2184,625,277,1161.89,114186.54,198,17,Tablet
CMP_SEO_01,SEO_Organic_Blog_Content,2025-01-22,SEO,Awareness,Asia-Pacific,24802,1316,712,132,630.51,48116.37,112,25,Tablet
CMP_YT_02,YT_TrueView_Product_Demo,2025-01-22,YouTube Ads,Product Promotion,Europe,46696,706,321,32,1113.69,6731.62,19,11,Mobile
CMP_YT_02,YT_TrueView_Product_Demo,2025-01-22,YouTube Ads,Product Promotion,North America,58776,938,315,45,2119.91,6914.79,26,16,Desktop
